Iteration 0/50000  Rate: -0.7469 bit   loss = 0.7469
Iteration 35500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 35600/50000  Rate: 0.6924 bit   loss = -0.6924
Iteration 35700/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 35800/50000  Rate: 0.9667 bit   loss = -0.9667
Iteration 35900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 36000/50000  Rate: 0.4735 bit   loss = -0.4735
Iteration 36100/50000  Rate: 0.9463 bit   loss = -0.9463
Iteration 36200/50000  Rate: 0.7093 bit   loss = -0.7093
Iteration 36300/50000  Rate: 0.9765 bit   loss = -0.9765
Iteration 36400/50000  Rate: 0.9435 bit   loss = -0.9435
Iteration 36500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 36600/50000  Rate: 0.4568 bit   loss = -0.4568
Iteration 36700/50000  Rate: 0.9949 bit   loss = -0.9949
Iteration 36800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 36900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 37000/50000  Rate: 0.8181 bit   loss = -0.8181
Iteration 37100/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 37200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 37300/50000  Rate: 0.3316 bit   loss = -0.3316
Iteration 37400/50000  Rate: 0.6371 bit   loss = -0.6371
Iteration 37500/50000  Rate: 0.8824 bit   loss = -0.8824
Iteration 37600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 37700/50000  Rate: 0.9547 bit   loss = -0.9547
Iteration 37800/50000  Rate: 0.9991 bit   loss = -0.9991
Iteration 37900/50000  Rate: 0.9092 bit   loss = -0.9092
Iteration 38000/50000  Rate: 0.3859 bit   loss = -0.3859
Iteration 38100/50000  Rate: 0.8259 bit   loss = -0.8259
Iteration 38200/50000  Rate: 0.5099 bit   loss = -0.5099
Iteration 38300/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 38400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 38500/50000  Rate: 0.7055 bit   loss = -0.7055
Iteration 38600/50000  Rate: 0.9947 bit   loss = -0.9947
Iteration 38700/50000  Rate: 0.2945 bit   loss = -0.2945
Iteration 38800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 38900/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 39000/50000  Rate: 0.3452 bit   loss = -0.3452
Iteration 39100/50000  Rate: 0.4487 bit   loss = -0.4487
Iteration 39200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 39300/50000  Rate: 0.4674 bit   loss = -0.4674
Iteration 39400/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 39500/50000  Rate: 0.6344 bit   loss = -0.6344
Iteration 39600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 39700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 39800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 39900/50000  Rate: 0.6513 bit   loss = -0.6513
Iteration 40000/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40100/50000  Rate: 0.9979 bit   loss = -0.9979
Iteration 40200/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 40300/50000  Rate: 0.9843 bit   loss = -0.9843
Iteration 40400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40500/50000  Rate: 0.6629 bit   loss = -0.6629
Iteration 40600/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 40700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40800/50000  Rate: 0.5223 bit   loss = -0.5223
Iteration 40900/50000  Rate: 0.9968 bit   loss = -0.9968
Iteration 41000/50000  Rate: 0.9910 bit   loss = -0.9910
Iteration 41100/50000  Rate: 0.6111 bit   loss = -0.6111
Iteration 41200/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41600/50000  Rate: 0.4510 bit   loss = -0.4510
Iteration 41700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41900/50000  Rate: 0.9999 bit   loss = -0.9999
